experiment_id,config_id,seed,n_agents,game_type,complexity_penalty,initial_precision,max_precision,min_precision,γ_update_factor,prior_α,prior_β,action_precision,structure_learning_threshold,bias,bias_duration,post_bias_duration,adoption_at_bias_end,gamma_at_bias_end,final_adoption,final_gamma,final_correlation,true_cooperation_rate,false_cooperation_rate,cooperation_gap,mean_ingroup_belief,mean_outgroup_belief,belief_difference,institution_emerged,self_fulfilling,elapsed_time
exp5_population_scale,1,5101,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.05,100,300,0.125,1.2855680528774671,0.0,2.870561394735293,-0.016592351777132433,0.085,0.15,-0.06499999999999999,0.11869032322217264,0.13344893206995415,-0.014758608847781504,false,false,2.057999849319458
exp5_population_scale,1,5102,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.05,100,300,0.0,1.2309439874873724,0.0,1.2309439874873724,-0.001269011008831547,0.135,0.11,0.02500000000000001,0.11279453103489166,0.11229207607397507,0.0005024549609165957,false,false,2.0370001792907715
exp5_population_scale,1,5103,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.05,100,300,0.25,1.2536529528113673,0.0,2.3995640298536847,-0.00836690180355669,0.108,0.08666666666666667,0.02133333333333333,0.10044168623690383,0.11302215334319254,-0.012580467106288712,false,false,2.015000104904175
exp5_population_scale,1,5104,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.05,100,300,0.375,2.7001093080030527,0.25,5.163050833660764,-0.0469324538489968,0.16,0.164,-0.0040000000000000036,0.15575413761878257,0.18900859398714387,-0.0332544563683613,false,false,1.9820001125335693
exp5_population_scale,1,5105,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.05,100,300,0.5,2.7316298192328548,1.0,6.908816135303652,-0.10869565217391303,0.9533333333333334,0.568,0.3853333333333334,0.43671978008062995,0.4759413519171988,-0.039221571836568825,true,true,1.999000072479248
exp5_population_scale,1,5106,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.05,100,300,0.25,2.332547385654811,1.0,5.587958687034476,0.06046992683963731,0.6,0.23,0.37,0.2490481991229234,0.18844979136756487,0.06059840775535852,true,true,2.0399999618530273
exp5_population_scale,1,5107,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.05,100,300,0.5,3.3212368848964373,1.0,7.132115941078007,-0.16493351624494212,0.9666666666666667,0.54,0.42666666666666664,0.4391454239405738,0.5519235913817583,-0.11277816744118446,true,true,1.9809999465942383
exp5_population_scale,1,5108,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.05,100,300,0.125,1.5196513205515785,0.25,4.3661988154762845,-0.06569167597910547,0.34,0.205,0.13500000000000004,0.18451196652227425,0.24827243654432155,-0.0637604700220473,false,false,2.00600004196167
exp5_population_scale,1,5109,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.05,100,300,0.0,1.0,0.0,1.3816215083520142,0.002705882352941169,0.112,0.12666666666666668,-0.014666666666666675,0.11278017893379451,0.1057330722291987,0.00704710670459581,false,false,1.9900000095367432
exp5_population_scale,1,5110,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.05,100,300,0.375,2.768798964814998,0.375,4.302804656004556,-0.07673600040012257,0.37333333333333335,0.356,0.017333333333333367,0.23902184886604896,0.30031365849422903,-0.061291809628180066,false,false,2.0199999809265137
exp5_population_scale,1,5111,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.05,100,300,0.0,1.7019695613596617,0.0,2.5856538130550257,-0.0007566517594976702,0.07666666666666666,0.1,-0.023333333333333345,0.11407841669970646,0.10719616938109715,0.006882247318609314,false,false,1.9890000820159912
exp5_population_scale,1,5112,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.05,100,300,0.125,1.1076806601147615,0.75,4.890093882841547,0.10022590172961876,0.484,0.32,0.16399999999999998,0.25180737032449263,0.17113998258073468,0.08066738774375795,true,true,2.00600004196167
exp5_population_scale,1,5113,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.05,100,300,0.0,1.0,0.0,1.0,-0.006143622259353623,0.08,0.115,-0.035,0.10533115668263406,0.1091890531751597,-0.003857896492525645,false,false,2.0239999294281006
exp5_population_scale,1,5114,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.05,100,300,0.0,1.0,0.0,1.0,-0.01357323232323232,0.12,0.112,0.007999999999999993,0.10126962547317893,0.11797291888611557,-0.016703293412936637,false,false,2.0
exp5_population_scale,1,5115,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.05,100,300,0.375,2.490822696999424,0.25,4.724930067553986,0.026749852473683194,0.1,0.19666666666666666,-0.09666666666666665,0.17344362430545485,0.1359078682595238,0.03753575604593104,false,false,2.077000141143799
exp5_population_scale,1,5116,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.05,100,300,0.0,1.1341593317878038,0.0,1.1341593317878038,-0.008212088447116989,0.088,0.08666666666666667,0.0013333333333333253,0.10259174092378687,0.10716536548268021,-0.004573624558893347,false,false,0.006000041961669922
exp5_population_scale,1,5117,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.05,100,300,0.0,1.2045141655221125,0.0,1.3499916641897365,0.0029962260301917704,0.12333333333333334,0.12,0.003333333333333341,0.1090383451982369,0.10923796695466503,-0.0001996217564281394,false,false,0.004999876022338867
exp5_population_scale,1,5118,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.05,100,300,0.125,1.896977427593701,1.0,6.3732739728896055,0.09490337798632659,0.865,0.37,0.495,0.36731623850662515,0.27356209712030005,0.0937541413863251,true,true,0.003000020980834961
exp5_population_scale,1,5119,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.05,100,300,0.125,1.7208324584822448,0.125,2.125,-0.019400718033692366,0.12666666666666668,0.124,0.0026666666666666783,0.11398883897771604,0.1291286308646806,-0.015139791886964557,false,false,0.004000186920166016
exp5_population_scale,1,5120,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.05,100,300,0.0,1.0,0.0,1.0,-0.028279273765809868,0.085,0.09,-0.0049999999999999906,0.09061180952988962,0.11680405651035737,-0.02619224698046775,false,false,0.003999948501586914
exp5_population_scale,2,5201,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.1,100,300,0.0,1.3685318465656504,1.0,6.005323246617106,-0.029717508251253938,0.59,0.20333333333333334,0.3866666666666666,0.2275853951185419,0.22923213669297146,-0.0016467415744295666,true,true,0.004999876022338867
exp5_population_scale,2,5202,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.1,100,300,0.125,1.1184505414153425,0.125,3.3641660366285278,0.03530844155844155,0.2,0.18,0.020000000000000018,0.1560326674837522,0.12282959234060584,0.033203075143146354,false,false,0.003999948501586914
exp5_population_scale,2,5203,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.1,100,300,0.125,1.3082004551525497,0.25,3.860451552951111,-0.049944103209889235,0.225,0.205,0.020000000000000018,0.14514437118367246,0.19223161131972288,-0.04708724013605042,false,false,0.004999876022338867
exp5_population_scale,2,5204,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.1,100,300,0.25,1.1967459040430963,0.875,5.3260584160001,0.0951764705882353,0.516,0.47333333333333333,0.042666666666666686,0.2834066144534955,0.21643349053848543,0.06697312391501009,true,false,0.00599980354309082
exp5_population_scale,2,5205,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.1,100,300,0.125,1.4683189652167283,0.125,3.1976650175050407,0.01668729386096421,0.2,0.07,0.13,0.1263607682767897,0.10833454216297733,0.018026226113812355,false,false,0.003000020980834961
exp5_population_scale,2,5206,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.1,100,300,0.125,1.4858993118825539,0.125,2.8063424439046414,-0.011794337711045808,0.132,0.12666666666666668,0.005333333333333329,0.11970639756335533,0.1315092700523875,-0.011802872489032168,false,false,0.005000114440917969
exp5_population_scale,2,5207,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.1,100,300,0.25,1.7715840612168103,0.625,4.088291640830894,-0.06521358543417366,0.128,0.28,-0.15200000000000002,0.13885670218990995,0.21429516456456932,-0.07543846237465937,true,true,0.004999876022338867
exp5_population_scale,2,5208,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.1,100,300,0.125,1.0181276449628536,0.0,2.283488453807066,-0.004077082337951898,0.11,0.16,-0.05,0.10509063980710295,0.11336114413839378,-0.008270504331290826,false,false,0.004999876022338867
exp5_population_scale,2,5209,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.1,100,300,0.25,1.6921659033518914,0.0,2.4406540703844666,-0.013500453131040424,0.11,0.12,-0.009999999999999995,0.10632808050974568,0.12076016779478851,-0.014432087285042833,false,false,0.003999948501586914
exp5_population_scale,2,5210,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.1,100,300,0.0,1.0,0.0,1.0,0.010833333333333334,0.12,0.1,0.01999999999999999,0.16898114256363886,0.11127307013320495,0.05770807243043391,false,false,0.005000114440917969
exp5_population_scale,2,5211,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.1,100,300,0.125,1.0359258994536409,0.75,4.683792738117958,0.1464539954577552,0.4266666666666667,0.12,0.3066666666666667,0.23607798433943367,0.10394137127923715,0.13213661306019653,true,true,0.005000114440917969
exp5_population_scale,2,5212,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.1,100,300,0.75,3.555967897000164,1.0,7.883334695176644,0.04584518046056507,1.0,0.62,0.38,0.5806901645596272,0.535598134311354,0.04509203024827324,true,true,0.005000114440917969
exp5_population_scale,2,5213,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.1,100,300,0.125,1.0420031155981995,0.625,4.570850711439117,-0.08064860251760189,0.17333333333333334,0.36,-0.18666666666666665,0.14283378367349464,0.24580394894364574,-0.1029701652701511,true,true,0.005000114440917969
exp5_population_scale,2,5214,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.1,100,300,0.0,1.0,0.0,1.0,0.007916666666666669,0.08571428571428572,0.1,-0.01428571428571429,0.16688125815844784,0.1027208568175535,0.06416040134089435,false,false,0.005000114440917969
exp5_population_scale,2,5215,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.1,100,300,0.25,1.09833704863779,0.375,3.15748941836382,-0.0460883618664612,0.108,0.23333333333333334,-0.12533333333333335,0.11640356864060485,0.1685037321282452,-0.052100163487640364,false,false,0.02700018882751465
exp5_population_scale,2,5216,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.1,100,300,0.5,3.8846229708356517,1.0,6.623664210944062,-0.23204139610389607,0.96,0.62,0.33999999999999997,0.457939736372431,0.6397339063416464,-0.18179416996921538,true,true,0.006000041961669922
exp5_population_scale,2,5217,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.1,100,300,0.25,1.1899217506434374,0.125,3.6402538884893514,-0.02094189579267175,0.184,0.10666666666666667,0.07733333333333332,0.12325244537374311,0.1462040572451621,-0.022951611871419003,false,false,0.003999948501586914
exp5_population_scale,2,5218,8,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.1,100,300,0.125,1.0517564057112516,0.0,1.2372029007855518,0.017462866318747494,0.104,0.12666666666666668,-0.022666666666666682,0.12564068372370257,0.1062089182658245,0.019431765457878072,false,false,0.003999948501586914
