experiment_id,config_id,seed,n_agents,game_type,complexity_penalty,initial_precision,max_precision,min_precision,γ_update_factor,prior_α,prior_β,action_precision,structure_learning_threshold,bias,bias_duration,post_bias_duration,adoption_at_bias_end,gamma_at_bias_end,final_adoption,final_gamma,final_correlation,true_cooperation_rate,false_cooperation_rate,cooperation_gap,mean_ingroup_belief,mean_outgroup_belief,belief_difference,institution_emerged,self_fulfilling,elapsed_time
exp2_complexity_penalty,1,2101,16,PrisonersDilemma,0.001,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.05,100,300,0.0625,1.3605029900551635,0.0625,2.454883457962733,-0.016121935889377742,0.124,0.12,0.0040000000000000036,0.12334688753900729,0.13598986615842595,-0.012642978619418668,false,false,1.8470001220703125
exp2_complexity_penalty,1,2102,16,PrisonersDilemma,0.001,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.05,100,300,0.0,1.0,0.0625,1.5625,-0.020714845013761446,0.11333333333333333,0.126,-0.012666666666666673,0.09352330349925325,0.1130759636167814,-0.019552660117528153,false,false,1.873999834060669
exp2_complexity_penalty,1,2103,16,PrisonersDilemma,0.001,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.05,100,300,0.0,1.0,0.0625,1.5625,-0.01402101022224514,0.084,0.16666666666666666,-0.08266666666666665,0.10778776175460628,0.12618620141552417,-0.018398439660917892,false,false,1.9210000038146973
exp2_complexity_penalty,1,2104,16,PrisonersDilemma,0.001,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.05,100,300,0.25,1.941255530439725,0.0,3.086772216362733,-0.01622533199922961,0.0925,0.0675,0.024999999999999994,0.10427742193105903,0.11965346832392051,-0.015376046392861484,false,false,1.9100000858306885
exp2_complexity_penalty,1,2105,16,PrisonersDilemma,0.001,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.05,100,300,0.125,1.3244887908010547,0.5,3.4694922448897216,0.08842105263157896,0.2816666666666667,0.08,0.20166666666666666,0.18905886716334394,0.11492842501590964,0.0741304421474343,false,false,1.9159998893737793
exp2_complexity_penalty,1,2106,16,PrisonersDilemma,0.001,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.05,100,300,0.1875,1.502450630291486,0.3125,3.4780370500156614,0.03396123348849803,0.2288888888888889,0.07714285714285714,0.15174603174603174,0.15927950574408936,0.12999131951008946,0.029288186233999897,false,false,1.8910000324249268
exp2_complexity_penalty,1,2107,16,PrisonersDilemma,0.001,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.05,100,300,0.0,1.0,0.0625,1.0161405298015165,-0.007973057644110285,0.09714285714285714,0.10888888888888888,-0.01174603174603174,0.10448805285179644,0.11232852485211918,-0.007840472000322743,false,false,1.9049999713897705
exp2_complexity_penalty,1,2108,16,PrisonersDilemma,0.001,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.05,100,300,0.125,1.8113506232608279,0.875,5.0591104403597225,0.04787873637027523,0.5125,0.16,0.3524999999999999,0.21847344744951355,0.17086478461080853,0.04760866283870502,true,true,1.8670001029968262
exp2_complexity_penalty,1,2109,16,PrisonersDilemma,0.001,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.05,100,300,0.0625,1.0737758112910203,0.3125,2.665645181139384,0.03814622126590904,0.22181818181818183,0.12,0.10181818181818184,0.14955268545096065,0.11266062047359501,0.036892064977365635,false,false,1.948000192642212
exp2_complexity_penalty,1,2110,16,PrisonersDilemma,0.001,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.05,100,300,0.125,1.2424174961298704,0.125,3.036489647183104,-0.001573311613001449,0.185,0.1325,0.05249999999999999,0.132681892992387,0.13359978058121835,-0.0009178875888313509,false,false,1.878999948501587
