experiment_id,config_id,seed,n_agents,game_type,complexity_penalty,initial_precision,max_precision,min_precision,γ_update_factor,prior_α,prior_β,action_precision,structure_learning_threshold,bias,bias_duration,post_bias_duration,adoption_at_bias_end,gamma_at_bias_end,final_adoption,final_gamma,final_correlation,true_cooperation_rate,false_cooperation_rate,cooperation_gap,mean_ingroup_belief,mean_outgroup_belief,belief_difference,institution_emerged,self_fulfilling,elapsed_time
exp8_long_term,1,8101,16,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.1,100,400,0.3125,2.2076423013682174,0.0,4.250180323352613,-0.0276502239625884,0.112,0.09818181818181818,0.013818181818181827,0.12579779360995333,0.149810487746236,-0.02401269413628268,false,false,2.11299991607666
exp8_long_term,1,8102,16,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.1,100,400,0.3125,2.2075098571068055,0.0625,4.53137297817112,0.0065114717662584365,0.108,0.13272727272727272,-0.024727272727272723,0.13944984816311679,0.13192108308790257,0.0075287650752142166,false,false,2.1730000972747803
exp8_long_term,1,8103,16,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.1,100,400,0.4375,1.5665477994369108,0.125,6.338399322811741,-0.0009064921387196279,0.16666666666666666,0.29428571428571426,-0.1276190476190476,0.22277292146064193,0.23087331429809482,-0.008100392837452897,false,false,2.122999906539917
exp8_long_term,1,8104,16,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.1,100,400,0.25,1.4935368566440452,0.25,3.261859397100814,-0.03156328908222705,0.15,0.17333333333333334,-0.023333333333333345,0.13374171700514847,0.17025165594758104,-0.03650993894243257,false,false,2.1700000762939453
exp8_long_term,1,8105,16,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.1,100,400,0.5625,2.0962440475180046,0.0625,6.222629757238727,0.00010078044375644302,0.045454545454545456,0.316,-0.27054545454545453,0.25243853840073094,0.27988780327160584,-0.0274492648708749,false,false,2.117000102996826
exp8_long_term,1,8106,16,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.1,100,400,0.0625,1.1326076707789814,0.0,1.5625,0.005483722758580473,0.09636363636363636,0.116,-0.019636363636363646,0.1183398665249,0.11442313057627472,0.00391673594862528,false,false,2.1740000247955322
exp8_long_term,1,8107,16,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.1,100,400,0.375,1.510606762630385,1.0,6.490230055629113,0.22363889455557823,0.822,0.5333333333333333,0.2886666666666666,0.46709740856860993,0.2823331828605195,0.18476422570809042,true,true,2.2839999198913574
exp8_long_term,1,8108,16,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.1,100,400,0.375,1.6642951524577196,0.0625,4.693611763213512,-0.022889245038532374,0.09111111111111111,0.13428571428571429,-0.04317460317460317,0.15815104433147287,0.18825079255462296,-0.03009974822315009,false,false,2.1710000038146973
exp8_long_term,1,8109,16,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.1,100,400,0.4375,1.6141841392502365,0.25,5.626201830661221,-0.026690834694100524,0.21333333333333335,0.26571428571428574,-0.05238095238095239,0.1620041290227739,0.1863042237374526,-0.0243000947146787,false,false,2.11899995803833
exp8_long_term,1,8110,16,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.1,100,400,0.375,2.691878027427011,0.1875,4.710928132426585,-0.042589815531475755,0.22,0.14181818181818182,0.07818181818181819,0.14906612742010328,0.19092572682435988,-0.0418595994042566,false,false,2.19599986076355
exp8_long_term,1,8111,16,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.1,100,400,0.4375,3.0499226937048256,0.125,5.686338637754039,-0.019165076660306646,0.20666666666666667,0.13,0.07666666666666666,0.16275293096593813,0.178136829350393,-0.015383898384454864,false,false,2.174999952316284
