experiment_id,config_id,seed,n_agents,game_type,complexity_penalty,initial_precision,max_precision,min_precision,γ_update_factor,prior_α,prior_β,action_precision,structure_learning_threshold,bias,bias_duration,post_bias_duration,adoption_at_bias_end,gamma_at_bias_end,final_adoption,final_gamma,final_correlation,true_cooperation_rate,false_cooperation_rate,cooperation_gap,mean_ingroup_belief,mean_outgroup_belief,belief_difference,institution_emerged,self_fulfilling,elapsed_time
exp4_internalization,1,4101,16,PrisonersDilemma,0.05,0.5,5.0,0.1,1.01,1.0,1.0,2.0,10,0.1,100,300,0.375,0.5540231087943093,0.0625,0.8929094773980792,-0.008726633089996785,0.1175,0.0925,0.024999999999999994,0.10691794412721697,0.11499728648018843,-0.00807934235297146,false,false,1.9709999561309814
exp4_internalization,1,4102,16,PrisonersDilemma,0.05,0.5,5.0,0.1,1.01,1.0,1.0,2.0,10,0.1,100,300,0.25,0.5378512951217627,0.0,0.776450031480611,-0.008154411174376888,0.09714285714285714,0.09333333333333334,0.0038095238095238043,0.11407174193077167,0.12157518620481109,-0.007503444274039414,false,false,1.9709999561309814
exp4_internalization,1,4103,16,PrisonersDilemma,0.05,0.5,5.0,0.1,1.01,1.0,1.0,2.0,10,0.1,100,300,0.3125,0.5484263310330662,0.0625,0.8569461155616503,-0.008530472046226603,0.105,0.0975,0.007499999999999993,0.11713901872484664,0.1250780267287403,-0.00793900800389366,false,false,2.0169999599456787
exp4_internalization,1,4104,16,PrisonersDilemma,0.05,0.5,5.0,0.1,1.01,1.0,1.0,2.0,10,0.1,100,300,0.0625,0.525040425026853,0.125,0.7810188872920514,0.007936157878818434,0.12,0.075,0.045,0.11641643971593374,0.10842134559538173,0.007995094120552007,false,false,2.0199999809265137
exp4_internalization,1,4105,16,PrisonersDilemma,0.05,0.5,5.0,0.1,1.01,1.0,1.0,2.0,10,0.1,100,300,0.5,0.55986922839789,0.0625,1.1218537481773538,-0.014512344699890531,0.1025,0.14,-0.03750000000000002,0.11217728959201256,0.12601310019059395,-0.013835810598581383,false,false,2.0759999752044678
exp4_internalization,1,4106,16,PrisonersDilemma,0.05,0.5,5.0,0.1,1.01,1.0,1.0,2.0,10,0.1,100,300,0.0625,0.5143500332765565,0.1875,0.7905914470937669,0.01460559396605908,0.09636363636363636,0.128,-0.03163636363636364,0.1200095093976797,0.10447886961832224,0.015530639779357452,false,false,2.0999999046325684
exp4_internalization,1,4107,16,PrisonersDilemma,0.05,0.5,5.0,0.1,1.01,1.0,1.0,2.0,10,0.1,100,300,0.0625,0.5014741398994578,0.0,0.5924002613381267,0.008600775877270317,0.10307692307692308,0.07333333333333333,0.029743589743589746,0.1218848722377174,0.10322633780555542,0.01865853443216199,false,false,2.120000123977661
exp4_internalization,1,4108,16,PrisonersDilemma,0.05,0.5,5.0,0.1,1.01,1.0,1.0,2.0,10,0.1,100,300,0.375,0.5671666751896262,0.125,1.068671366109734,-0.009874193492939304,0.13666666666666666,0.134,0.0026666666666666505,0.11469216559744352,0.12789167173981322,-0.013199506142369699,false,false,1.9649999141693115
exp4_internalization,1,4109,16,PrisonersDilemma,0.05,0.5,5.0,0.1,1.01,1.0,1.0,2.0,10,0.1,100,300,0.375,0.6062715993224523,0.0,0.7353539223100083,-0.016975552180116912,0.135,0.10166666666666667,0.03333333333333334,0.10307725132194366,0.1266608280665832,-0.023583576744639526,false,false,2.05400013923645
exp4_internalization,1,4110,16,PrisonersDilemma,0.05,0.5,5.0,0.1,1.01,1.0,1.0,2.0,10,0.1,100,300,0.25,0.5703052704131836,0.25,1.0953153310963268,-0.004692909871298598,0.11142857142857143,0.08444444444444445,0.026984126984126985,0.11359081170021995,0.11725691161329425,-0.0036660999130743027,false,false,2.1399998664855957
exp4_internalization,1,4111,16,PrisonersDilemma,0.05,0.5,5.0,0.1,1.01,1.0,1.0,2.0,10,0.1,100,300,0.1875,0.5136975677057003,0.0,0.631886521733429,0.011198094803779993,0.09636363636363636,0.112,-0.015636363636363643,0.1214820876030738,0.1120387488009926,0.009443338802081203,false,false,2.064000129699707
exp4_internalization,1,4112,16,PrisonersDilemma,0.05,0.5,5.0,0.1,1.01,1.0,1.0,2.0,10,0.1,100,300,0.25,0.5369049269936457,0.1875,1.0593835750151852,-0.010545378408615053,0.13666666666666666,0.088,0.048666666666666664,0.11289594146849272,0.12329506763780727,-0.010399126169314557,false,false,2.066999912261963
exp4_internalization,1,4113,16,PrisonersDilemma,0.05,0.5,5.0,0.1,1.01,1.0,1.0,2.0,10,0.1,100,300,0.125,0.5119475024623287,0.125,0.5957169399913503,0.024458617653292422,0.10285714285714286,0.08,0.022857142857142854,0.11561464398096245,0.1024456001312364,0.013169043849726059,false,false,2.071000099182129
exp4_internalization,1,4114,16,PrisonersDilemma,0.05,0.5,5.0,0.1,1.01,1.0,1.0,2.0,10,0.1,100,300,0.125,0.5317139938758483,0.125,0.8425265913546324,0.009100856950354938,0.11454545454545455,0.132,-0.01745454545454546,0.12163743869551248,0.11324922217576307,0.008388216519749414,false,false,2.0280001163482666
exp4_internalization,1,4115,16,PrisonersDilemma,0.05,0.5,5.0,0.1,1.01,1.0,1.0,2.0,10,0.1,100,300,0.25,0.5892277577700118,0.0625,1.1127215775808565,-0.006419245855865577,0.09,0.126,-0.036000000000000004,0.11092021000739302,0.11817013045896647,-0.007249920451573452,false,false,2.072999954223633
exp4_internalization,1,4116,16,PrisonersDilemma,0.05,0.5,5.0,0.1,1.01,1.0,1.0,2.0,10,0.1,100,300,0.1875,0.5711556313430131,0.0,0.6198010006372713,-0.005808410276997189,0.09714285714285714,0.08666666666666667,0.010476190476190472,0.10574452447116696,0.10981318115418415,-0.004068656683017188,false,false,0.009000062942504883
exp4_internalization,1,4117,16,PrisonersDilemma,0.05,0.5,5.0,0.1,1.01,1.0,1.0,2.0,10,0.1,100,300,0.125,0.5134127207551474,0.0625,0.739902638622825,0.008249365277649509,0.09833333333333333,0.08,0.018333333333333326,0.11787504793995024,0.10911391961990519,0.008761128320045053,false,false,0.009000062942504883
exp4_internalization,1,4118,16,PrisonersDilemma,0.05,0.5,5.0,0.1,1.01,1.0,1.0,2.0,10,0.1,100,300,0.4375,0.5806192441034856,0.1875,1.2243913035493819,-0.0088058854684816,0.10857142857142857,0.09555555555555556,0.013015873015873008,0.11429886821653112,0.11871031741841077,-0.00441144920187965,false,false,0.009999990463256836
exp4_internalization,1,4119,16,PrisonersDilemma,0.05,0.5,5.0,0.1,1.01,1.0,1.0,2.0,10,0.1,100,300,0.25,0.55667136996447,0.125,0.7669964792402407,-0.004343213055734388,0.12,0.09,0.03,0.10889573419816875,0.11184760511392312,-0.0029518709157543704,false,false,0.04500007629394531
